PUERTO,OPERACIÓN,AÑO,TIPO_CARGA,TONELADAS,REGIÓN,LATITUD,LONGITUD
Terminal Siderúrgico Huachipato,Cabotaje desembarcado,2016,Granel sólido,1.557.965,Biobío,"-36,74","-73,13"
Terminal Siderúrgico Huachipato,Cabotaje desembarcado,2016,Granel líquido,,Biobío,"-36,74","-73,13"
Terminal OXIQUIM Coronel,Cabotaje embarcado,2016,Carga general,,Biobío,"-36,95","-73,17"
Terminal OXIQUIM Coronel,Cabotaje embarcado,2016,Granel sólido,,Biobío,"-36,95","-73,17"
Terminal OXIQUIM Coronel,Cabotaje embarcado,2016,Granel líquido,,Biobío,"-36,95","-73,17"
Terminal OXIQUIM Coronel,Cabotaje desembarcado,2016,Carga general,,Biobío,"-36,95","-73,17"
Terminal OXIQUIM Coronel,Cabotaje desembarcado,2016,Granel sólido,,Biobío,"-36,95","-73,17"
Terminal OXIQUIM Coronel,Cabotaje desembarcado,2016,Granel líquido,262.302,Biobío,"-36,95","-73,17"
Valdivia,Cabotaje embarcado,2016,Carga general,1.720,Los Ríos,-398.256,-732.508
Valdivia,Cabotaje embarcado,2016,Granel sólido,,Los Ríos,-398.256,-732.508
Valdivia,Cabotaje embarcado,2016,Granel líquido,,Los Ríos,-398.256,-732.508
Valdivia,Cabotaje desembarcado,2016,Carga general,,Los Ríos,-398.256,-732.508
Valdivia,Cabotaje desembarcado,2016,Granel sólido,,Los Ríos,-398.256,-732.508
Valdivia,Cabotaje desembarcado,2016,Granel líquido,,Los Ríos,-398.256,-732.508
Puerto Montt,Cabotaje embarcado,2016,Carga general,790.548,Los Lagos,"-41,48","-72,96"
Puerto Montt,Cabotaje embarcado,2016,Granel sólido,,Los Lagos,"-41,48","-72,96"
Puerto Montt,Cabotaje embarcado,2016,Granel líquido,,Los Lagos,"-41,48","-72,96"
Puerto Montt,Cabotaje desembarcado,2016,Carga general,179.306,Los Lagos,"-41,48","-72,96"
Puerto Montt,Cabotaje desembarcado,2016,Granel sólido,88.659,Los Lagos,"-41,48","-72,96"
Puerto Montt,Cabotaje desembarcado,2016,Granel líquido,,Los Lagos,"-41,48","-72,96"
Calbuco,Cabotaje embarcado,2016,Carga general,195.856,Los Lagos,,
Calbuco,Cabotaje embarcado,2016,Granel sólido,,Los Lagos,,
Calbuco,Cabotaje embarcado,2016,Granel líquido,,Los Lagos,,
Calbuco,Cabotaje desembarcado,2016,Carga general,39.817,Los Lagos,,
Calbuco,Cabotaje desembarcado,2016,Granel sólido,,Los Lagos,,
Calbuco,Cabotaje desembarcado,2016,Granel líquido,744.104,Los Lagos,,
Castro,Cabotaje embarcado,2016,Carga general,10.253,Los Lagos,"-42,48","-73,76"
Castro,Cabotaje embarcado,2016,Granel sólido,,Los Lagos,"-42,48","-73,76"
Castro,Cabotaje embarcado,2016,Granel líquido,,Los Lagos,"-42,48","-73,76"
Castro,Cabotaje desembarcado,2016,Carga general,23.343,Los Lagos,"-42,48","-73,76"
Castro,Cabotaje desembarcado,2016,Granel sólido,,Los Lagos,"-42,48","-73,76"
Castro,Cabotaje desembarcado,2016,Granel líquido,,Los Lagos,"-42,48","-73,76"
